cui	label	ispref	sab	tty	semantic_type	field	why	specialty	context_any	block_any
C0877453	Acute cellular rejection	Y	MTH	PT	Finding	condition	UMLS concept exists but is excluded from the active biomedicine label index because its MRSTY type is Organ or Tissue Function; clinically this should be findable as a transplant rejection finding.
C0525032	INR	Y	MTH	AB	Finding	lab	A short clinical acronym for international normalized ratio is important in anticoagulation notes and can be missed by short-token suppression.
C1718209	PHQ-9	Y	MTH	AB	Finding	assessment	A short clinical acronym for Patient Health Questionnaire-9 should resolve to the existing score/finding CUI.
C0202691	Head CT	Y	MTH	AB	Diagnostic Procedure	procedure	Common clinical shorthand for computed tomography of head should resolve to the existing head CT procedure CUI.
C0344351	Gluten-free diet	Y	MTH	PT	Therapeutic or Preventive Procedure	procedure	Diet therapy is clinically central in celiac paragraphs and should remain findable from exact wording.
C0009421	Coma	Y	MTH	PT	Disease or Syndrome	condition	Coma is a clinically important single-token condition that can be hidden by zero-evidence single-token suppression.
C0011991	Diarrhea	Y	MTH	PT	Sign or Symptom	finding	Diarrhea is a clinically important single-token symptom that can be hidden by zero-evidence single-token suppression.
C3640037	Retinal examination	Y	MTH	PT	Diagnostic Procedure	procedure	Retinal examination is a clinically important ophthalmology procedure that should remain findable from exact wording.
C0030794	Pelvic pain	Y	MTH	PT	Sign or Symptom	finding	Pelvic pain is a central exact symptom in PID and ectopic-pregnancy paragraphs and should remain findable from exact wording.
C0042109	Urticaria	Y	MTH	PT	Disease or Syndrome	condition	Urticaria is a central exact finding in anaphylaxis paragraphs and should remain findable from exact wording.
C0043144	Wheezing	Y	MTH	PT	Sign or Symptom	finding	Wheezing is a central exact symptom in anaphylaxis and asthma paragraphs and should remain findable from exact wording.
C0013428	Dysuria	Y	MTH	PT	Sign or Symptom	finding	Dysuria is an explicit urinary symptom in UTI and pyelonephritis paragraphs and should remain visible alongside infection, culture, organism, and antibiotic concepts.	urology	dysuria|urinary|urine|pyelonephritis|urinalysis|nitrites|pyuria|flank pain	
C0040822	Tremor	Y	MTH	PT	Sign or Symptom	finding	Tremor is an explicit neurologic and withdrawal symptom that should remain visible alongside alcohol withdrawal, seizure, hallucinations, and Parkinson disease concepts.	neurology	tremor|tremors|withdrawal|seizure|hallucinations|delirium tremens|parkinson|bradykinesia|resting	
C0036572	Seizure	Y	MTH	PT	Sign or Symptom	finding	Seizure is an explicit neurologic and withdrawal symptom that should remain visible alongside alcohol withdrawal, tremor, hallucinations, lorazepam, and delirium tremens concepts.	neurology	seizure|seizures|convulsion|convulsions|withdrawal|lorazepam|delirium tremens|alcohol|epilepsy	
C0079304	Endoscopy	Y	MTH	PT	Diagnostic Procedure	procedure	Clinical notes often use endoscopy as shorthand for upper endoscopy/EGD, and it should remain findable from exact wording.
C0202110	Ketones	Y	MTH	PT	Laboratory Procedure	lab	Ketones is a central exact laboratory anchor in DKA paragraphs and should resolve to ketone body measurement.
C2098283	urine culture grew Escherichia coli	Y	MTH	PT	Laboratory or Test Result	lab	The pyelonephritis paragraph states this result as natural language rather than the compact UMLS label.
C0521654	neurologic deficit	Y	MTH	PT	Finding	finding	Neurologic deficit is an exact broad finding that should remain visible alongside the more specific local persistent neurologic deficit concept.
C0751295	memory loss	Y	MTH	PT	Finding	finding	Memory loss is an explicit cognitive finding in Alzheimer and dementia paragraphs and should remain visible instead of being displaced by generic memory-observation concepts.	neurology	memory loss|dementia|alzheimer|cognitive|neurology|mini mental|mmse	
C1456868	foot ulcer	Y	MTH	PT	Disease or Syndrome	condition	Diabetic foot paragraphs often state foot ulcer before later diabetes qualifiers; the existing diabetic foot ulcer CUI should stay visible.
C0406317	plaque psoriasis	Y	MTH	PT	Disease or Syndrome	condition	Plaque psoriasis is an exact clinical subtype phrase that should not be hidden behind generic psoriasis.
C0032914	preeclampsia	Y	MTH	PT	Disease or Syndrome	condition	Preeclampsia is a common obstetric diagnosis that should remain visible alongside severe hypertension, proteinuria, magnesium sulfate, labetalol, and delivery planning.	obstetrics	preeclampsia|proteinuria|severe hypertension|severe range blood pressure|magnesium sulfate|labetalol|pregnancy	
C0020461	hyperkalemia	Y	MTH	PT	Pathologic Function	condition	Hyperkalemia is a central electrolyte disorder in ECG, dialysis, kidney-injury, and medication-hold paragraphs and should not be displaced by individual electrolyte ingredients.	nephrology	hyperkalemia|peaked t waves|calcium gluconate|sodium zirconium cyclosilicate|hemodialysis|lisinopril|potassium	
C0002978	angiography	Y	MTH	PT	Diagnostic Procedure	procedure	Angiography is a central vascular diagnostic procedure in acute limb ischemia and coronary/aortic contexts and should remain visible from exact wording.	radiology	angiography|vascular surgery|acute limb ischemia|thrombectomy|heparin|coronary|aortic	
C0917801	suicidal ideation	Y	MTH	PT	Mental Process	finding	Suicidal ideation is an explicit behavioral-health finding that should remain visible in depression and safety-risk paragraphs.	psychiatry	suicidal ideation|suicidal thoughts|major depressive disorder|depression|phq-9|sertraline	
C2242990	cardiothoracic surgery	Y	MTH	PT	Therapeutic or Preventive Procedure	procedure	Cardiothoracic surgery is an exact service/procedure phrase in aortic-dissection repair planning and should remain visible alongside CTA and medication stabilization.	cardiology	cardiothoracic surgery|aortic dissection|cta|computed tomography angiography|esmolol|nicardipine|repair	
C0034108	pulse oximetry	Y	MTH	PT	Diagnostic Procedure	procedure	Pulse oximetry is an exact respiratory monitoring procedure in asthma and oxygen-saturation paragraphs and should remain visible alongside albuterol, prednisone, and wheezing.	pulmonology	pulse oximetry|oxygen saturation|asthma|wheezing|albuterol|prednisone|nebulizer	
C0001617	corticosteroids	Y	MTH	PT	Pharmacologic Substance	drug	Corticosteroids is a common drug-class phrase in asthma, COPD, migraine, colitis, and immune-toxicity paragraphs and should resolve to the broad steroid class rather than only route-specific variants.	pharmacology	corticosteroids|corticosteroid|asthma|copd|migraine|colitis|prednisone|immune mediated	
C0007561	ceftriaxone	Y	MTH	PN	Pharmacologic Substance	drug	Exact ceftriaxone mentions should remain visible in cellulitis, pyelonephritis, sepsis, and antibiotic-associated diarrhea paragraphs.	infectious disease	ceftriaxone|cellulitis|pyelonephritis|sepsis|clostridioides difficile|antibiotic associated diarrhea	
C0014834	Escherichia coli	Y	MTH	PN	Bacterium	organism	The pyelonephritis paragraph explicitly names Escherichia coli and should retain the organism CUI alongside the culture-result CUI.
C0430404	urine culture	Y	MTH	PT	Laboratory Procedure	lab	Urine culture is an explicit lab procedure phrase that should remain visible alongside the composed culture-result concept.
C0025222	melena	Y	MTH	PN	Finding	finding	Melena is an explicit GI bleeding finding and should remain visible with hematemesis and gastric ulcer.
C0149871	deep vein thrombosis	Y	MTH	PN	Disease or Syndrome	condition	Deep vein thrombosis is an exact VTE phrase and should remain visible alongside the local acute DVT concept.
C0202115	lactate	Y	MTH	SY	Laboratory Procedure	lab	Clinical sepsis paragraphs often say lactate monitoring when the target is lactate measurement.
C0683369	confused	Y	MTH	SY	Finding	finding	Confused is an explicit mental-status finding and should resolve to clouded consciousness when used as a patient state.
C0201975	rising creatinine	Y	MTH	SY	Laboratory Procedure	lab	Rising creatinine is a common shorthand for creatinine measurement in transplant and kidney paragraphs without overriding albumin creatinine ratio.
